index,genres,keywords,production_companies,title,cast,director,document
667,"['crime', 'drama', 'family']","['londonengland', 'childabuse', 'streetgang', 'runaway', 'childlabour', ""children'shome"", 'orphanage', 'thief', 'violence', 'goodandbad', 'child']",r.p.productions,Oliver Twist,"['barneyclark', 'benkingsley', 'jamieforeman', 'harryeden', 'edwardhardwicke', 'leannerowe', 'ianmcneice', 'chrisoverton', 'andylinden', 'teresachurcher', 'jakecurran', 'turbo', 'lewischase', 'levihayes', 'jeremyswift', 'gillianhanna', 'michaelheath', 'patrickgodfrey', 'markstrong', 'ophelialovibond', 'lizsmith', 'andydelatour', 'richarddurden', 'petercopley', 'johnnettleton', 'tonynoble', 'gerardhoran', 'morganepolanski', 'alunarmstrong', 'francescuka', 'paulbrooke', 'nickstringer', 'frankmills', 'richardridings']",romanpolanski,crime drama family londonengland childabuse streetgang runaway childlabour children'shome orphanage thief violence goodandbad child r . p . p r o d u c t i o n s
668,"['action', 'fantasy']","['martialarts', 'basedoncomicbook', 'femaleassassin', 'spinoff']",twentiethcenturyfoxfilmcorporation,Elektra,"['jennifergarner', 'goranvisnjic', 'willyunlee', 'cary-hiroyukitagawa', 'terencestamp', 'natassiamalthe', 'kirstenprout', 'colincunningham', 'edsont.ribeiro', 'chrisackerman', 'bobsapp', 'markhoughton', 'hirokanagawa', 'lauraward', 'iantracey', 'aaronau', 'kevanohtsji', 'kurtmaxrunte', 'nathanielarcand', 'janamitsoula']",robbowman,action fantasy martialarts basedoncomicbook femaleassassin spinoff t w e n t i e t h c e n t u r y f o x f i l m c o r p o r a t i o n
669,"['crime', 'thriller']","['detective', 'dystopia', 'dominatrix', 'murder', 'suspense', 'twins', 'basedongraphicnovel', 'darkhorsecomics', 'neo-noir', '3d']",miramaxfilms,Sin City: A Dame to Kill For,"['mickeyrourke', 'jessicaalba', 'joshbrolin', 'josephgordon-levitt', 'rosariodawson', 'brucewillis', 'evagreen', 'powersboothe', 'dennishaysbert', 'rayliotta', 'christophermeloni', 'jeremypiven', 'christopherlloyd', 'jaimeking', 'junotemple', 'stacykeach', 'martoncsokas', 'judeciccolella', 'jamiechung', 'ladygaga', 'alexapenavega', 'juliagarner', 'billyblair', 'patriciavonne', 'bartfletcher', 'alejandrorose-garcia', 'samueldavis', 'mikedavis', 'kimberlycox', 'alcidesdias', 'vincentfuentes', 'robfranco', 'daylonwalton', 'eloisedejoria', 'bobschreck', 'lawrencevarnado', 'jimmygonzales', 'tommytownsend', 'robertlott', 'gregorykelly', 'patricksane', 'gregingram', 'willbeinbrink', 'dimitriuspulido', 'johnwirt', 'emmyrobbin', 'luisalbertacevedojr.', 'christianbowman', 'johnnyreno', 'calliehernandez']",robertrodriguez,crime thriller detective dystopia dominatrix murder suspense twins basedongraphicnovel darkhorsecomics neo-noir 3d m i r a m a x f i l m s
670,"['drama', 'romance']","['infidelity', 'politician', 'airplanecrash', 'death', 'deathofhusband', 'policesergeant', 'deathofwife']",columbiapictures,Random Hearts,"['harrisonford', 'kristinscottthomas', 'charless.dutton', 'bonniehunt', 'dennishaysbert', 'sydneypollack', 'richardjenkins', 'paulguilfoyle', 'susannathompson', 'petercoyote', 'dylanbaker', 'lynnethigpen', 'susanfloyd', 'billcobbs', 'katemara', 'arianathomas', 'nelsonlandrieu', 'brookesmith', 'christinachang', 'michellehurd', 'reikoaylesworth', 'raymondanthonythomas', 'ediefalco', 's.epathamerkerson']",sydneypollack,drama romance infidelity politician airplanecrash death deathofhusband policesergeant deathofwife c o l u m b i a p i c t u r e s
671,"['adventure', 'drama']","['mountains', 'snowstorm', 'hiking', 'climbing', 'snow', 'death', 'blizzard', 'mountainclimbing', 'basedontrueevents', 'mounteverest', '3d']",universalpictures,Everest,"['jasonclarke', 'jakegyllenhaal', 'joshbrolin', 'johnhawkes', 'samworthington', 'robinwright', 'keiraknightley', 'clivestanden', 'emilywatson', 'miagoth', 'michaelkelly', 'martinhenderson', 'elizabethdebicki', 'tomgoodman-hill', 'vanessakirby', 'naokomori', 'markderwin', 'thomasm.wright', 'ingvareggertsigurðsson', 'angphulasherpa', 'charlottebøving', 'pembasherpa', 'amyshindler', 'simonharrison', 'chrisreilly', 'timdantay', 'toddboyce', 'justinsalinger', 'stormurjónkormákurbaltasarsson', 'demetrigoritsas', 'chikechan', 'micaha.hauptman', 'nancybaldwin', 'lucynewman-williams', 'vijaylama', 'avinshah']",baltasarkormákur,adventure drama mountains snowstorm hiking climbing snow death blizzard mountainclimbing basedontrueevents mounteverest 3d u n i v e r s a l p i c t u r e s
672,"['crime', 'fantasy', 'drama']","['paris', 'femalenudity', 'prostitute', 'smalltown', 'obsession', 'orgy', 'badsmell', 'nudity', 'lonewolf', 'lavender', 'nose', 'childprodigy', 'fishmarket', 'daughter', 'supernatural', 'genius', ""children'shome"", 'death', 'perfume']",davis-films,Perfume: The Story of a Murderer,"['benwhishaw', 'simonchandler', 'davidcalder', 'richardfelix', 'birgitminichmayr', 'sianthomas', 'michaelsmiley', 'alvaroroque', 'francklefeuvre', 'samdouglas', 'karolineherfurth', 'timothydavies', 'dustinhoffman', 'rachelhurd-wood', 'alanrickman', 'saraforestier', 'corinnaharfouch', 'paulberrondo', 'joannagriffiths', 'jessicaschwarz', 'harrisgordon', 'enricarquimbau', 'andrésherrera', 'johnhurt']",tomtykwer,crime fantasy drama paris femalenudity prostitute smalltown obsession orgy badsmell nudity lonewolf lavender nose childprodigy fishmarket daughter supernatural genius children'shome death perfume d a v i s - f i l m s
673,"['comedy', 'crime', 'sciencefiction']","['savingtheworld', 'submarine', 'brotherbrotherrelationship', 'clone', 'spy', 'helicopter', 'gold', 'submachinegun', 'asteroid', 'undercover', 'belgium', 'dutch', 'carjourney', 'nightclub', 'laser', 'sumoringer', 'familyhistory', 'auto', 'clowning', 'overweightman', 'conciliation', 'jamesbondspoof', 'duringcreditsstinger']",newlinecinema,Austin Powers in Goldmember,"['mikemyers', 'beyoncéknowles', 'sethgreen', 'michaelyork', 'mindysterling', 'vernetroyer', 'michaelcaine', 'fredsavage', 'dianemizota', 'carrieanninaba', 'nobumatsuhisa', 'robertwagner', 'annamariegoddard', 'aaronhimelstein', 'joshzuckerman', 'evanfarmer', 'tomlisterjr.', 'nicholehiltz', 'gwynethpaltrow', 'angelameryl', 'scottaukerman', 'johntravolta', 'dannydevito', 'kevinspacey', 'tomcruise', 'eddieadams', 'neilmullarkey', 'ericwinzenried', 'jimpiddock', 'estherscott', 'leynanguyen', 'jeannettecharles', 'briantee', 'masioka', 'kevincooney', 'clinthoward', 'michaelmcdonald', ""donnad'errico"", 'fredstoller', 'bradgrunberg', 'greggrunberg', 'renurano', 'kingaphilipps', 'johndonovan', 'masakanome', 'hideokimura', 'hiroshiotaguro', 'kevinalexanderstea', 'lindakim', 'ninakaczorowski', 'tammyvanderpool', 'nikkiziering', 'sybilazur', 'nicolehumphries', 'patricefisher', 'timothyanderson', 'faunea.chambers', 'kellycooper', 'r.j.durell', 'shaunearl', 'michelleelkin', 'jenniferhamilton', 'hunterhamilton', 'michaelhiggins', 'markmeismer', 'mandymoore', 'ayeshaorange', 'nathanprevost', 'lizramos', 'shealanspencer', 'beccasweitzer', 'salvatorevassallo', 'robertvinson', 'amiebarsky', 'linachmiel', 'sharonferguson', 'treyknight', 'brianrichardson', 'kimberleesuerth', 'lakishaswift', 'nathanlane', 'katiecouric', 'roblowe', 'ryanallencarrillo', 'michaelchaturantabut', 'gabrielcorbin', 'devynduex', 'christymcginitygibel', 'paulgrace', 'benhisoler', 'willholman', 'eijiinoue', 'jimmyjatho', 'kristenjohnston', 'charlesm.kerper', 'martinklebba', 'carolinalancaster', 'ryanmcgonagle', 'kinseymclean', 'maryleepicciano', 'geneanthonyray', 'tararice', 'nicolesciacca', 'mattsergott', 'sonnysison', 'michaelsunlee', 'chrissung', 'andreannaveith', 'kevinvila', 'danwarner', 'shanezeranski', 'ozzyosbourne', 'stevenspielberg', 'britneyspears']",jayroach,comedy crime sciencefiction savingtheworld submarine brotherbrotherrelationship clone spy helicopter gold submachinegun asteroid undercover belgium dutch carjourney nightclub laser sumoringer familyhistory auto clowning overweightman conciliation jamesbondspoof duringcreditsstinger n e w l i n e c i n e m a
674,"['animation', 'action', 'family', 'sciencefiction']",['superhero'],theweinsteincompany,Astro Boy,"['nicolascage', 'kristenbell', 'billnighy', 'donaldsutherland', 'freddiehighmore', 'eugenelevy', 'sterlingbeaumon', 'nathanlane', 'samuell.jackson', 'charlizetheron', 'davidalangrier', 'alantudyk', 'newellalexander', 'ellefanning', 'pilarflynn']",davidbowers,animation action family sciencefiction superhero t h e w e i n s t e i n c o m p a n y
675,"['adventure', 'sciencefiction']","['exoticisland', 'dna', 'paleontology', 'tyrannosaurusrex', 'triceratops', 'brontosaurus', 'electricfence', 'island', 'dinosaur', 'amusementpark', 'themepark', 'jurassicpark']",universalpictures,Jurassic Park,"['samneill', 'lauradern', 'jeffgoldblum', 'richardattenborough', 'bobpeck', 'martinferrero', 'bdwong', 'josephmazzello', 'arianarichards', 'samuell.jackson', 'wayneknight', 'geraldr.molen', 'miguelsandoval', 'cameronthor', 'christopherjohnfields', 'whithertford', 'deancundey', 'jopheryc.brown', 'tommishler', 'gregburson', 'adrianescober', 'richardkiley', 'bradm.bucklin', 'lauraburnett', 'garyrodriguez', 'briansmrz', ""robert'bobbyz'zajonc""]",stevenspielberg,adventure sciencefiction exoticisland dna paleontology tyrannosaurusrex triceratops brontosaurus electricfence island dinosaur amusementpark themepark jurassicpark u n i v e r s a l p i c t u r e s
676,"['drama', 'action', 'western']","['gunslinger', 'gambling', 'sheriff', 'deputysheriff', 'wretch', 'wyattearp', 'historicalfigure', 'docholliday']",tigproductions,Wyatt Earp,"['kevincostner', 'dennisquaid', 'genehackman', 'davidandrews', 'lindenashby', 'jefffahey', 'joannagoing', 'markharmon', 'michaelmadsen', ""catherineo'hara"", 'billpullman', 'isabellarossellini', 'tomsizemore', 'jobethwilliams', 'marewinningham', 'jamesgammon', 'rexlinn', 'adambaldwin', 'randlemell', 'annabethgish', 'lewissmith', 'ianbohen', 'bettybuckley', 'owenroizman']",lawrencekasdan,drama action western gunslinger gambling sheriff deputysheriff wretch wyattearp historicalfigure docholliday t i g p r o d u c t i o n s
677,"['action', 'drama', 'thriller']","['assassination', 'spy', 'ambush', 'cia', 'helicopter', 'basedonnovel', 'usapresident', 'sniper', 'fbi', 'colombia', 'drugtraffic', 'bomber', 'missionofmurder', 'mercenary', 'insurgence', 'coastguard', 'spying', 'war', 'carbomb', 'drugcartel', 'conspiracy', 'shootout', 'infantry', 'violence', 'jackryan', 'politicalcover-up']",paramountpictures,Clear and Present Danger,"['harrisonford', 'willemdafoe', 'annearcher', 'joaquimdealmeida', 'henryczerny', 'harrisyulin', 'donaldmoffat', 'miguelsandoval', 'benjaminbratt', 'raymondcruz', 'deanjones', 'thorabirch', 'annmagnuson', 'hopelange', 'tomtammi', 'jamesearljones', 'tedraimi', 'greggermann']",phillipnoyce,action drama thriller assassination spy ambush cia helicopter basedonnovel usapresident sniper fbi colombia drugtraffic bomber missionofmurder mercenary insurgence coastguard spying war carbomb drugcartel conspiracy shootout infantry violence jackryan politicalcover-up p a r a m o u n t p i c t u r e s
679,"['comedy', 'crime']","['baby', 'adoption', 'marriedcouple', 'smallperson', 'criminal']",revolutionstudios,Little Man,"['marlonwayans', 'shawnwayans', 'kerrywashington', 'johnwitherspoon', 'tracymorgan', 'lochlynmunro']",keenenivorywayans,comedy crime baby adoption marriedcouple smallperson criminal r e v o l u t i o n s t u d i o s
680,"['action', 'drama', 'thriller', 'war']","['submarine', 'worldwarii', 'northatlantic', 'mission']",universalpictures,U-571,"['matthewmcconaughey', 'billpaxton', 'harveykeitel', 'jonbonjovi', 'davidkeith', 'thomaskretschmann', 'jakeweber', 'jacknoseworthy', 'tomguiry', 'willestes', ""terrence't.c.'carson""]",jonathanmostow,action drama thriller war submarine worldwarii northatlantic mission u n i v e r s a l p i c t u r e s
681,"['comedy', 'drama', 'romance']","['whitehouse', 'usapresident', 'newlove', 'widower', 'wildlifeconservation']",columbiapictures,The American President,"['michaeldouglas', 'annettebening', 'michaelj.fox', 'martinsheen', 'annadeaveresmith', 'shawnawaldron', 'samanthamathis', 'davidpaymer', 'richarddreyfuss', 'ninasiemaszko', 'wendiemalick', 'beaubillingslea', 'gailstrickland', 'joshuamalina', 'clementvonfranckenstein', 'johnmahoney', 'johnmahon', 'gabrieljarret']",robreiner,comedy drama romance whitehouse usapresident newlove widower wildlifeconservation c o l u m b i a p i c t u r e s
682,"['comedy', 'romance']","['sport', 'icehockey', 'guru', 'comedy', 'bollywood', 'india', 'spiritualist', 'brokenheart', 'self-help', 'stanleycup', 'chastity', 'ashram', 'expert']",paramountpictures,The Love Guru,"['mikemyers', 'jessicaalba', 'justintimberlake', 'romanymalco', 'meagangood', 'vernetroyer', 'manunarayan', 'omiddjalili', 'benkingsley', 'deepakchopra', 'stephencolbert', 'jimgaffigan', 'valkilmer', 'jessicasimpson', 'mariskahargitay', 'kanyewest', 'trevorheins', 'johnoliver', 'samanthabee']",marcoschnabel,comedy romance sport icehockey guru comedy bollywood india spiritualist brokenheart self-help stanleycup chastity ashram expert p a r a m o u n t p i c t u r e s
683,"['action', 'adventure', 'comedy', 'thriller', 'crime']","['casino', 'submachinegun', 'hold-uprobbery', 'elvis', 'referencetoelvispresley', 'duringcreditsstinger']",franchisepictures,3000 Miles to Graceland,"['kurtrussell', 'kevincostner', 'courteneycox', 'christianslater', 'kevinpollak', 'davidarquette', 'jonlovitz', 'howielong', 'thomashadenchurch', 'bokeemwoodbine', 'ice-t', 'louislombardi', 'michaelkopsa']",demianlichtenstein,action adventure comedy thriller crime casino submachinegun hold-uprobbery elvis referencetoelvispresley duringcreditsstinger f r a n c h i s e p i c t u r e s
684,"['crime', 'drama', 'mystery', 'western']","['bountyhunter', 'wyoming', 'mountains', 'narration', 'hangman', 'stagecoach', 'blizzard', 'postcivilwar']",doublefeaturefilms,The Hateful Eight,"['samuell.jackson', 'kurtrussell', 'jenniferjasonleigh', 'waltongoggins', 'demiánbichir', 'timroth', 'michaelmadsen', 'brucedern', 'jamesparks', 'danagourrier', 'zoëbell', 'leehorsley', 'genejones', 'keithjefferson', 'craigstark', 'belindaowino', 'channingtatum', 'quentintarantino']",quentintarantino,crime drama mystery western bountyhunter wyoming mountains narration hangman stagecoach blizzard postcivilwar d o u b l e f e a t u r e f i l m s
685,"['action', 'comedy', 'drama']","['competition', 'olympicgames', 'sport', 'rivalry', 'iceskating']",dreamworks,Blades of Glory,"['willferrell', 'jonheder', 'willarnett', 'amypoehler', 'jennafischer', 'williamfichtner', 'craigt.nelson', 'romanymalco', 'nickswardson', 'scotthamilton', 'andyrichter', 'greglindsay', 'robcorddry', 'nickjameson', 'tomvirtue', 'benwilson', 'williamdaniels', 'zacharyferren', 'rémygirard', 'stevenm.gagnon', 'nancykerrigan', 'lukewilson', 'brianboitano', 'dorothyhamill', 'peggyfleming', 'sashacohen', 'jimlampley', 'katharinetowne', 'kerryrossall']",joshgordon,action comedy drama competition olympicgames sport rivalry iceskating d r e a m w o r k s
686,"['animation', 'comedy', 'family']","[""coupd'etat"", 'slacker', 'easter', 'easterbunny', 'aftercreditsstinger', 'liveactionandanimation']",universalpictures,Hop,"['russellbrand', 'jamesmarsden', 'kaleycuoco', 'hankazaria', 'elizabethperkins', 'garycole', 'hughlaurie', 'tiffanyespensen', 'davidhasselhoff', 'chelseahandler', 'dustinybarra']",timhill,animation comedy family coupd'etat slacker easter easterbunny aftercreditsstinger liveactionandanimation u n i v e r s a l p i c t u r e s
687,"['action', 'adventure', 'war']","['evisceration', 'javelin', 'shield', 'army', 'fallfromheight', 'ancientworld', 's.a.t.', 'minions']",virtualstudios,300,"['gerardbutler', 'lenaheadey', 'dominicwest', 'davidwenham', 'vincentregan', 'michaelfassbender', 'tomwisdom', 'andrewtiernan', 'andrewpleavin', 'rodrigosantoro', 'giovanicimmino', 'tylerneitzel', 'stephenmchattie', 'elisnyder', 'timconnolly', 'marie-julierivest', 'petermensah', 'arthurholden', 'michaelsinelnikoff', 'kellycraig', 'gregkramer', 'alexivanovici', 'tomrack', 'davidfrancis', 'jamesbradford', 'sebastianst.germain', 'johndunn-hill', 'dennisstjohn', 'neilnapier', 'dylansmith', 'maurizioterrazzano', 'kwasisongui', 'alexandrabeaton', 'frédéricsmith', 'loucasminchillo', 'nicholasminchillo', 'andrewshaver', 'marceljeannin', 'robinwilcock', 'robertparadis', 'jeregillis', 'jeremythibodeau', 'tyronebenskin', 'robertmaillet', 'patricksabongui', 'davidschaap', 'leonladerach', 'davelapommeray', 'vervimauricio', 'charlespapasoff', 'isabellechampeau', 'veronique-nataleszalankiewicz', 'maévanadon', 'davidthibodeau', 'jeanmichelparé', 'stewartmyiow', 'andreanneross', 'saragiacalone', 'ariadnebourbonnière', 'isabellefournel', 'sandrinemerette-attiow', 'daniellehubbard', 'elisabethetienne', 'ruanvibegaard', 'genevieveguilbault', 'bonniemak', 'améliesorel', 'carolineaspirot', 'ginagagnon', 'taniatrudell', 'stéphanieaubry', 'mercedesleggett', 'stephaniagambaroff', 'chanellelamothe', 'sabrina-jasmineguilbault', 'mannycorteztuazon', 'atify.siddiqi', 'camillerizkallah', 'trudihanley', 'neoncobran', 'garya.hecker', 'devindelorme', 'dekerichards', 'darrenshahlavi', 'marctrottier', 'duyvovan', 'agnieshkawnorowska']",zacksnyder,action adventure war evisceration javelin shield army fallfromheight ancientworld s.a.t. minions v i r t u a l s t u d i o s
688,"['comedy', 'romance']","['cia', 'parentskidsrelationship', 'florida', 'anti-authoritarianupbringing', 'jew', 'parents-in-law', 'orderly', 'justmarried', 'sextherapy', 'badfather-in-law', 'family', 'illegitimateson']",dreamworksskg,Meet the Fockers,"['benstiller', 'teripolo', 'robertdeniro', 'dustinhoffman', 'barbrastreisand', 'blythedanner', 'timblakenelson', 'alannaubach', 'shelleyberman', 'owenwilson', 'raysantiago', 'spencerpickren', 'bradleypickren', 'kalirocha', 'doriebarton', 'jackplotnick', 'waynethomasyorke', 'maxhoffman', ""lindao'neil""]",jayroach,comedy romance cia parentskidsrelationship florida anti-authoritarianupbringing jew parents-in-law orderly justmarried sextherapy badfather-in-law family illegitimateson d r e a m w o r k s s k g
689,"['comedy', 'family']","['journalist', 'basedonnovel', 'puppy', 'dog', 'duringcreditsstinger', 'columnist', 'animallead']",sunsweptentertainment,Marley & Me,"['owenwilson', 'jenniferaniston', 'ericdane', 'kathleenturner', 'alanarkin', 'nathangamble', 'haleybennett', 'anndowd', 'clarkepeters', 'finleyjacobsen', 'lucymerriam', 'brycerobinson', 'benhyland', ""saraho'kelly"", 'keithhudson', 'haleyhudson', 'tomirwin', 'alecmapa', 'sandymartin', 'joycevanpatten', 'zabrynaguevara', 'megangrace', 'haleyhiggins', 'anaayora', 'matthewj.walters', 'nicoleherold', 'paultei', 'gastonrenaud', 'angelinaassereto', 'emmettrobin', 'lisavarga', 'dylanhenry', 'stephenleedavis', 'michaelbaskin', 'bradleyfrishman', 'ericconger']",davidfrankel,comedy family journalist basedonnovel puppy dog duringcreditsstinger columnist animallead s u n s w e p t e n t e r t a i n m e n t
690,"['fantasy', 'drama', 'crime']","['southernusa', 'blackpeople', 'mentallydisabled', 'basedonnovel', 'heal', 'deathrow', 'jailguard', 'greatdepression', 'prisonguard', 'electricchair', 'magicrealism', 'healing', 'deathrowinmate', '1930s']",castlerockentertainment,The Green Mile,"['tomhanks', 'michaelclarkeduncan', 'davidmorse', 'bonniehunt', 'jamescromwell', 'patriciaclarkson', 'michaeljeter', 'samrockwell', 'grahamgreene', 'doughutchison', 'barrypepper', 'jeffreydemunn', 'harrydeanstanton', 'garysinise', 'dabbsgreer', 'evebrent', 'williamsadler', 'mackmiles', 'raitasco', 'paulamalcomson', 'brianlibby', 'brentbriscoe', 'billmckinney', 'rachelsinger', 'scottyleavenworth', 'billgratton', 'deecroxton', 'rebeccaklingler', 'garyimhoff', 'vanepperson', 'philhawn', 'tedhollis', 'robertmalone']",frankdarabont,fantasy drama crime southernusa blackpeople mentallydisabled basedonnovel heal deathrow jailguard greatdepression prisonguard electricchair magicrealism healing deathrowinmate 1930s c a s t l e r o c k e n t e r t a i n m e n t
691,"['action', 'adventure', 'comedy']","['midlifecrisis', 'roadtrip', 'politicallyincorrect', 'motorcyclegang', 'bikerfilm', 'awkwardness', 'travelwriter', 'middleage', 'middleagedman']",wildhogsproductions,Wild Hogs,"['timallen', 'johntravolta', 'martinlawrence', 'williamh.macy', 'rayliotta', 'marisatomei', 'johnc.mcginley', 'm.c.gainey', 'jillhennessy', 'dominicjanes', 'tichinaarnold', 'stephentobolowsky', 'jasonsklar', 'randysklar', 'drewsidora', 'jonathanrau', 'peterfonda']",waltbecker,action adventure comedy midlifecrisis roadtrip politicallyincorrect motorcyclegang bikerfilm awkwardness travelwriter middleage middleagedman w i l d h o g s p r o d u c t i o n s
692,"['animation', 'family', 'comedy']","['fish', 'smalltown', 'spacemarine', 'chicken', 'alien', 'bestfriend', 'alieninvasion', 'animal', 'duringcreditsstinger', '3d']",waltdisneypictures,Chicken Little,"['zachbraff', 'joancusack', 'danmolina', 'stevezahn', 'garrymarshall', 'amysedaris', 'markwalton', 'donknotts', 'seanelmore', 'matthewjosten', 'evandunn', 'fredwillard', ""catherineo'hara"", 'markdindal', 'patrickstewart', 'wallaceshawn', 'patrickwarburton', 'adamwest', 'harryshearer', 'joewhyte', 'kellyhoover', 'willfinn', 'daramcgarry', 'markkennedy']",markdindal,animation family comedy fish smalltown spacemarine chicken alien bestfriend alieninvasion animal duringcreditsstinger 3d w a l t d i s n e y p i c t u r e s
693,"['mystery', 'thriller', 'drama']","['basedonnovel', 'marriagecrisis', 'disappearance', 'cheatinghusband', 'missingperson', 'searchparty', 'criminallawyer', 'wifemurder', 'murdersuspect', 'missingwife']",twentiethcenturyfoxfilmcorporation,Gone Girl,"['benaffleck', 'rosamundpike', 'carriecoon', 'neilpatrickharris', 'tylerperry', 'kimdickens', 'patrickfugit', 'missipyle', 'emilyratajkowski', 'caseywilson', 'lolakirke', 'boydholbrook', 'davidclennon', 'lisabanes', 'scootmcnairy', 'selaward', 'kathleenroseperkins', 'leenorris', 'leonardkelly-young', 'jamiemcshane', 'petehousman', 'lynna.freedman', 'cydstrittmatter', 'rickywood', 'donnarusch', 'markatteberry', 'darincooper', 'katecampbell', 'brettleigh', 'antoniost.james', 'laurenglazier', ""juliaprud'homme"", 'cooperthornton', 'caseyruggieri', 'ashleydidion', 'lexisnutt', 'l.a.williams', 'blakesheldon', 'seanguse', 'fredcross', 'scotttakeda', 'marktanderson', 'kathysweeney-meadows', 'marcabbink', 'christinaalex', 'samuelbaca', 'billblair', 'thomasr.baker', 'gregoerboru', 'willc.', 'carolineclements', 'nancydemars', 'davinajoy', 'michaelkelly', 'elesterlatham', 'aaronmassey', 'orionmccabe', 'rozmchenry', 'bryanmckinley', 'teebonemitchell', 'justinnesbitt', 'markparrish', 'jaclynrose', 'sahlima', 'joelshock', 'roberttarpinian', 'tracyweisert', 'michellewinters', 'tracybrotherton', 'matildematteucci', 'daleshane', 'lesliea.hughes']",davidfincher,mystery thriller drama basedonnovel marriagecrisis disappearance cheatinghusband missingperson searchparty criminallawyer wifemurder murdersuspect missingwife t w e n t i e t h c e n t u r y f o x f i l m c o r p o r a t i o n
694,"['action', 'drama', 'mystery', 'thriller']","['paris', 'barcelonaspain', 'assassin', 'basedonnovel', 'secretidentity', 'amnesia', 'sniper', 'passport', 'missionofmurder', 'lovers', 'escape', 'shootout', 'footchase', 'cellphone', 'carchase', 'multipleidentities', 'surveillancecamera', 'hamburggermany', 'fishingboat', 'langleyvirginia', 'safedepositbox', 'flashback', 'handtohandcombat']",universalpictures,The Bourne Identity,"['mattdamon', 'frankapotente', 'chriscooper', 'cliveowen', 'briancox', 'adewaleakinnuoye-agbaje', 'gabrielmann', 'waltongoggins', 'joshhamilton', 'juliastiles', 'orsomariaguerrini', 'timdutton', 'denisbraccini', 'nickynaude', 'davidselburg', 'demetrigoritsas', 'russelllevy', 'anthonygreen', 'hubertsaint-macary', 'davidbamber', 'gwenaelclause', 'emanuelbooz', 'philippedurand', 'vincentfranklin', 'paulettefrantz', 'thierryrené', 'rogerfrost', 'davidgasman', 'harrygilbert', 'delphinelanson', 'williamcagnard', 'kaittenison', 'josephbeddelin', 'rainerwerner', 'katiethynne', 'aaronlilly', 'ronaldbenefield', 'bradleyj.goode', 'troylenhardt', 'joshuamcnew', 'joemontana', 'johnpawlikowski', 'michaelrix', 'bradrizer', 'andrewwebster', 'houstonwilliams', 'alaingrellier', 'arnaudhenriet', 'jean-yvesbilien', 'dannyerskine', ""elwin'chopper'david""]",dougliman,action drama mystery thriller paris barcelonaspain assassin basedonnovel secretidentity amnesia sniper passport missionofmurder lovers escape shootout footchase cellphone carchase multipleidentities surveillancecamera hamburggermany fishingboat langleyvirginia safedepositbox flashback handtohandcombat u n i v e r s a l p i c t u r e s
695,"['adventure', 'action', 'thriller']","['cuba', 'falselyaccused', 'secretidentity', 'computervirus', 'secretbase', 'secretintelligenceservice', 'kgb', 'satellite', 'specialcar', 'cossack', 'electromagneticpulse', 'timebomb', 'st.petersburgrussia', 'ejectionseat', 'redarmy']",unitedartists,GoldenEye,"['piercebrosnan', 'seanbean', 'izabellascorupco', 'famkejanssen', 'joedonbaker', 'judidench', 'gottfriedjohn', 'robbiecoltrane', 'alancumming', 'tchékykaryo', 'desmondllewelyn', 'samanthabond', 'michaelkitchen', 'serenagordon', 'simonkunz', 'billyj.mitchell', 'constantinegregory', 'minniedriver', 'michellearthur', 'ravilisyanov']",martincampbell,adventure action thriller cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy u n i t e d a r t i s t s
696,"['crime', 'drama', 'mystery', 'thriller']","['suicide', 'detective', 'basedonnovel', 'bondage', 'general', 'paranoia', 'nudity', 'u.s.army', 'investigation', 'politics', 'cover-up', 'murder', 'betrayal', 'conspiracy', 'gangrape', 'fatherdaughterrelationship', 'videotape', 'militarylaw']",paramountpictures,The General's Daughter,"['johntravolta', 'madeleinestowe', 'jamescromwell', 'timothyhutton', 'lesliestefanson', 'danielvonbargen', 'clarencewilliamsiii', 'jameswoods', 'johnbeasley', 'boydkestner', 'bradbeyer', 'johnbenjaminhickey', 'rickdial', 'peterweireter', 'markboonejunior', 'jaredchandler']",simonwest,crime drama mystery thriller suicide detective basedonnovel bondage general paranoia nudity u.s.army investigation politics cover-up murder betrayal conspiracy gangrape fatherdaughterrelationship videotape militarylaw p a r a m o u n t p i c t u r e s
697,"['comedy', 'drama']","['claustrophobia', 'hiddencamera', 'dystopia', 'realityshow', 'makebelieve', 'pretend']",paramountpictures,The Truman Show,"['jimcarrey', 'lauralinney', 'noahemmerich', 'nataschamcelhone', 'edharris', 'hollandtaylor', 'briandelate', 'blairslater', 'heidischanz', 'rontaylor', 'dontaylor', 'tedraymond', 'peterkrause', 'o-lanjones', 'kristalynnlandolfi', 'paulgiamatti', 'harryshearer', 'jeanettemiller', 'philipglass', 'unadamon', 'joeminjares', 'philipbakerhall', 'johnpleshette', 'terrycamilleri', 'joelmckinnonmiller']",peterweir,comedy drama claustrophobia hiddencamera dystopia realityshow makebelieve pretend p a r a m o u n t p i c t u r e s
